case_id,event_id,timestamp,timestamp_end,timestamp_confidence,source,artifact_type,event_type,action,user,host,process,parent_process,process_id,parent_process_id,command_line,file,file_path,file_hash,device,ip_src,ip_dst,port_src,port_dst,protocol,parent_event_id,related_event_id,relationship,evidence_id,provenance
M57-Jean,EVT-M57-Jean-DLL-18,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,RPCRT4.dll,C:\\WINDOWS\\system32\\RPCRT4.dll,,,,,,,,,,,M57-Jean-MEM-DLL-18,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-19,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,Secur32.dll,C:\\WINDOWS\\system32\\Secur32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-19,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-20,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,AUTHZ.dll,C:\\WINDOWS\\system32\\AUTHZ.dll,,,,,,,,,,,M57-Jean-MEM-DLL-20,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-21,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,msvcrt.dll,C:\\WINDOWS\\system32\\msvcrt.dll,,,,,,,,,,,M57-Jean-MEM-DLL-21,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-22,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,CRYPT32.dll,C:\\WINDOWS\\system32\\CRYPT32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-22,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-23,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,MSASN1.dll,C:\\WINDOWS\\system32\\MSASN1.dll,,,,,,,,,,,M57-Jean-MEM-DLL-23,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-24,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,USER32.dll,C:\\WINDOWS\\system32\\USER32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-24,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-25,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,GDI32.dll,C:\\WINDOWS\\system32\\GDI32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-25,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-26,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,NDdeApi.dll,C:\\WINDOWS\\system32\\NDdeApi.dll,,,,,,,,,,,M57-Jean-MEM-DLL-26,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-27,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,PROFMAP.dll,C:\\WINDOWS\\system32\\PROFMAP.dll,,,,,,,,,,,M57-Jean-MEM-DLL-27,Volatility 3 windows.dlllist from M57-Jean memory image
