case_id,logical_event_id,temporal_sequence,timestamp,process_id,process,graph_anomaly_score,graph_predicted_anomaly,graph_anomaly_rank,value_gap_log_seconds,shap_gap_log_seconds,value_local_density_10s,shap_local_density_10s,value_local_density_30s,shap_local_density_30s,value_local_density_60s,shap_local_density_60s,value_process_changed,shap_process_changed,value_parent_count,shap_parent_count,value_child_count,shap_child_count,value_graph_degree,shap_graph_degree,value_in_degree,shap_in_degree,value_out_degree,shap_out_degree,value_command_line_count,shap_command_line_count,value_module_count,shap_module_count,value_memory_region_count,shap_memory_region_count,value_relationship_type_count,shap_relationship_type_count
M57-Jean,LEVT-M57-Jean-PROCESS-1528-20091121013305,23,2009-11-21 01:33:05+00:00,1528,jusched.exe,-0.1163620354428939,False,32,0.0,0.07562112682229194,34,0.14322788148646046,34,0.07788716511599324,34,0.07076084076313283,1,0.16770986884396058,1,0.0,0,0.139419385358661,2,0.08997885610543094,1,0.0,1,0.08042654967288519,0,-0.3642217592435249,0,0.09010811936946994,1,0.07249628596716931,2,-0.06204486654314115
M57-Jean,LEVT-M57-Jean-PROCESS-1676-20091121013306,24,2009-11-21 01:33:06+00:00,1676,ctfmon.exe,-0.1212117633637109,False,33,0.6931471805599453,0.1406207227676188,33,0.14385200626070907,33,0.08772818468885031,33,0.1083811088096131,1,0.1712491446036535,1,0.0,0,0.13956949713417188,2,0.0798114684931816,1,0.0,1,0.08823982862805498,0,-0.3687192702321136,0,0.09428572989585068,1,0.061746300283003944,2,-0.05884957264980357
M57-Jean,LEVT-M57-Jean-PROCESS-1664-20091121013258,17,2009-11-21 01:32:58+00:00,1664,avgwdsvc.exe,-0.1222727770132078,False,34,0.0,0.1457861683248368,33,0.1776682477135461,33,0.17122910998916518,33,0.15477458247214282,1,0.16596913712945768,1,0.0,5,-0.6177032314488388,57,0.03905872841296277,1,0.0,56,0.03365836766821291,1,0.2111004421496711,48,0.06922637523717347,2,-0.03424970161828086,4,0.1948606184058114
M57-Jean,LEVT-M57-Jean-PROCESS-2132-20091121013311,27,2009-11-21 01:33:11+00:00,2132,avgemc.exe,-0.1239746368140754,False,35,1.3862943611198906,0.08794485621608895,32,0.1228783570927949,32,0.06721656454165373,32,0.07969732050759146,1,0.16813524734180438,1,0.0,1,-0.023918248421266306,7,0.011091847507674526,1,0.0,6,0.0031051948673215886,1,0.17775598484226005,3,-0.016473120469937083,1,0.0675541822295965,4,0.004142950479037143
M57-Jean,LEVT-M57-Jean-PROCESS-2028-20091121013242,15,2009-11-21 01:32:42+00:00,2028,AVGIDSAgent.exe,-0.1286433685681302,False,36,0.0,0.14691435628662602,33,0.17017307035079737,33,0.1696579034175887,33,0.14653278460545469,1,0.17259164118355694,1,0.0,0,0.16029454454243158,63,-0.043050152826015604,1,0.0,62,-0.010549780497294827,1,0.21710151143253792,58,-0.00986856262108118,3,-0.46276358292181663,4,0.19640990619785348
M57-Jean,LEVT-M57-Jean-PROCESS-3996-20091121013335,31,2009-11-21 01:33:35+00:00,3996,alg.exe,-0.1363867170326745,False,37,2.9444389791664403,-0.13150156495185036,32,0.1436909608716714,32,0.06962428194799457,32,0.1045909638989373,1,0.16416601835963116,1,0.0,0,0.15085846905426079,5,0.05556959075166936,1,0.0,4,0.05873651815830122,1,0.18843967812576903,3,0.019000973577676317,0,0.11254576981184396,3,0.09319341324518199
M57-Jean,LEVT-M57-Jean-PROCESS-2296-20091121013314,29,2009-11-21 01:33:14+00:00,2296,avgnsx.exe,-0.1397688659305001,False,38,0.6931471805599453,0.14429128093823976,32,0.12900771441833006,32,0.07648579286110124,32,0.09500788023834064,1,0.16635979458373806,1,0.0,1,-0.012027506959581902,35,0.045588490263293965,1,0.0,34,0.03479889388113398,1,0.2514368827253325,32,0.05549317223024718,0,0.06883046487805256,3,0.051272800343071655
M57-Jean,LEVT-M57-Jean-PROCESS-988-20091121013232,5,2009-11-21 01:32:32+00:00,988,lsass.exe,-0.1430919031243578,False,39,0.0,0.16774824332338278,35,0.07422488380972603,35,0.03243231872262072,35,0.02118384129471635,1,0.1795744138945458,1,0.0,0,0.1648924171277982,61,-0.011308333515844895,1,0.0,60,0.006924890950046279,1,0.22616899422602196,58,-0.005985475101001676,1,0.1270628508045041,4,0.20049860846403553
M57-Jean,LEVT-M57-Jean-PROCESS-1732-20091121013237,12,2009-11-21 01:32:37+00:00,1732,svchost.exe,-0.1446258270911565,False,40,1.0986122886681098,0.13851418994507167,32,0.06626938577014943,32,0.042748293578231907,32,0.053958258257947735,1,0.17775765812035554,1,0.0,0,0.16267703383825316,43,0.022172579683356022,1,0.0,42,0.05504280578221021,1,0.2427876856696541,40,0.03783522974488564,1,0.09829474273933884,4,0.12104673408815339
M57-Jean,LEVT-M57-Jean-PROCESS-344-20091121013301,18,2009-11-21 01:33:01+00:00,344,jqs.exe,-0.1455318819824991,False,41,1.3862943611198906,0.05960578260703177,34,0.14472292945592036,34,0.10940836881278038,34,0.08881119189438083,1,0.17322947042419037,1,0.0,0,0.15720969743879792,35,0.058771199016545976,1,0.0,34,0.06354587784280799,1,0.23319215306706242,33,0.07009757120074846,0,0.04599451131382406,3,0.03565599406104046
M57-Jean,LEVT-M57-Jean-PROCESS-1760-20091121013238,13,2009-11-21 01:32:38+00:00,1760,avgcsrvx.exe,-0.145538019371901,False,42,0.6931471805599453,0.13194672641866814,32,0.16341301308938225,32,0.09263870510471578,32,0.11353381070092476,1,0.16921363597909836,1,0.0,0,0.1611160624917185,2,0.09916761069043886,1,0.0,1,0.0981064446315461,1,0.10652945504717934,0,0.09032376368361326,0,0.11063624213288899,2,-0.09623737052809361
M57-Jean,LEVT-M57-Jean-PROCESS-2244-20091121013313,28,2009-11-21 01:33:13+00:00,2244,avgam.exe,-0.1478829551445319,False,43,1.0986122886681098,0.15656394596089515,32,0.1486138659624204,32,0.08149893010130399,32,0.11221614666851396,1,0.16988948355771108,1,0.0,0,0.15608313604011112,29,0.03373223615711033,1,0.0,28,0.023649844532667077,1,0.24957923052735942,27,0.007521866670316377,0,0.0887275495731841,3,0.06723567140733464
M57-Jean,LEVT-M57-Jean-PROCESS-1508-20091121013305,22,2009-11-21 01:33:05+00:00,1508,avgtray.exe,-0.1538313178987189,False,44,0.0,0.16188078739681577,34,0.16128181710345396,34,0.151408782131248,34,0.11573764076453137,1,0.17981856113822126,1,0.0,1,0.027364176063133776,38,0.0896382571345578,1,0.0,37,0.10263131151282955,1,0.23041230597098838,33,0.10687977816035603,2,-0.06873005779977256,4,0.17769693131867717
M57-Jean,LEVT-M57-Jean-PROCESS-1996-20091121013242,14,2009-11-21 01:32:42+00:00,1996,spoolsv.exe,-0.1596368868859688,False,45,1.6094379124341005,-0.0347825545577345,33,0.20240332461663074,33,0.19412916770663127,33,0.1793074453511799,1,0.1847328175425999,1,0.0,0,0.16679224329960735,53,0.05571260323414554,1,0.0,52,0.04904570714322152,1,0.23315500458872976,50,0.04329783282100464,1,0.13051607601496312,4,0.1709993395874456
M57-Jean,LEVT-M57-Jean-PROCESS-1752-20091121013306,25,2009-11-21 01:33:06+00:00,1752,msmsgs.exe,-0.1636836566676644,False,46,0.0,0.16248767446749354,33,0.19202363489732754,33,0.1968025179665394,33,0.17656088458809777,1,0.18605858482842455,1,0.0,0,0.16488711748443735,47,0.06438619838056107,1,0.0,46,0.07253351659158994,1,0.2409331524100264,43,0.09257621558937004,2,-0.07082180990357133,4,0.19514611672027396
M57-Jean,LEVT-M57-Jean-PROCESS-1152-20091121013234,6,2009-11-21 01:32:34+00:00,1152,svchost.exe,-0.1700091964640421,False,47,1.0986122886681098,0.12872984803292314,33,0.20654017799742402,33,0.2030241019042365,33,0.18902595927542917,1,0.18819097875251536,1,0.0,0,0.16955080685942125,51,0.07037749065897882,1,0.0,50,0.060464831584811356,1,0.23833755107501076,48,0.05554005797662982,1,0.13741929550191473,4,0.1819544561628845
