case_id,logical_event_id,temporal_sequence,timestamp,process_id,process,graph_only_anomaly_rank,graph_only_anomaly_score,graph_only_predicted_anomaly,shap_parent_count,shap_child_count,shap_graph_degree,shap_in_degree,shap_out_degree,shap_command_line_count,shap_module_count,shap_memory_region_count,shap_relationship_type_count,shap_total_abs,top_graph_feature,top_graph_feature_shap
M57-Jean,LEVT-M57-Jean-PROCESS-2840-20091123170451,35,2009-11-23 17:04:51+00:00,2840,iexplore.exe,31,-0.1393804036946022,False,0.0,0.18389567770619902,0.21080651790128685,0.0,0.19966965521247215,-0.1748791463076694,0.1675430260305921,0.21826108705692726,-0.15813235622321045,1.3131874664383572,memory_region_count,0.21826108705692726
M57-Jean,LEVT-M57-Jean-PROCESS-1204-20091123165512,33,2009-11-23 16:55:12+00:00,1204,iexplore.exe,32,-0.1393804036946022,False,0.0,0.18389567770619902,0.21080651790128685,0.0,0.19966965521247215,-0.1748791463076694,0.1675430260305921,0.21826108705692726,-0.15813235622321045,1.3131874664383572,memory_region_count,0.21826108705692726
M57-Jean,LEVT-M57-Jean-PROCESS-2296-20091121013314,29,2009-11-21 01:33:14+00:00,2296,avgnsx.exe,33,-0.1420479687914403,False,0.0,-0.03795372674814209,0.06405434866389884,0.0,0.11833663618555523,0.37227298847059176,0.09023030008811249,0.14241839145184543,-0.041454752384388026,0.8667211439925339,command_line_count,0.37227298847059176
M57-Jean,LEVT-M57-Jean-PROCESS-1508-20091121013305,22,2009-11-21 01:33:05+00:00,1508,avgtray.exe,34,-0.1423183301860312,False,0.0,-0.06757323599738245,0.09661173110891538,0.0,0.1355893376312952,0.3908762616625242,0.13222089907709703,-0.19975314073575653,0.22610926167122297,1.2487338678841937,command_line_count,0.3908762616625242
M57-Jean,LEVT-M57-Jean-PROCESS-620-20091123235925,46,2009-11-23 23:59:25+00:00,620,cmd.exe,35,-0.1458255950985478,False,0.0,-0.001734761401418359,0.052293636021584856,0.0,0.08849789717565987,0.3460628624744918,0.09345288439917819,0.18017632579059326,0.035814176707967736,0.7980325439708941,command_line_count,0.3460628624744918
M57-Jean,LEVT-M57-Jean-PROCESS-2080-20091123221633,41,2009-11-23 22:16:33+00:00,2080,swriter.exe,36,-0.1489192171141277,False,0.0,0.015613752566170404,0.04531484092913381,0.0,0.09614891529857807,0.31547185060321503,0.122758680067661,0.1901104523139984,0.08068230556947528,0.866100797348232,command_line_count,0.31547185060321503
M57-Jean,LEVT-M57-Jean-PROCESS-988-20091121013232,5,2009-11-21 01:32:32+00:00,988,lsass.exe,37,-0.1491737360927474,False,0.0,0.2697304753866995,-0.04194129072604822,0.0,-0.036566195737402794,0.3719999909860473,-0.11195588887560888,0.12388404682979715,0.29685833266466843,1.2529362212062722,command_line_count,0.3719999909860473
M57-Jean,LEVT-M57-Jean-PROCESS-2992-20091124000124,47,2009-11-24 00:01:24+00:00,2992,mdd_1.3.exe,38,-0.1499329784066485,False,0.0,0.17015171133128532,-0.007565789837855547,0.0,0.07266422725282502,0.31601351719886406,0.11917568311571007,0.17613787383813656,0.043079106539130545,0.9047879091138069,command_line_count,0.31601351719886406
M57-Jean,LEVT-M57-Jean-PROCESS-2244-20091121013313,28,2009-11-21 01:33:13+00:00,2244,avgam.exe,39,-0.1519818639579991,False,0.0,0.20032069862761046,0.02404105417786453,0.0,0.0846088145626521,0.36938744907080645,0.11755423577434179,0.15369941005048465,-0.012175892206686436,0.9617875544704465,command_line_count,0.36938744907080645
M57-Jean,LEVT-M57-Jean-PROCESS-3908-20091123221634,42,2009-11-23 22:16:34+00:00,3908,soffice.exe,40,-0.1529903124124946,False,0.0,0.012877495393769253,0.08006251882748672,0.0,0.12219595401631818,0.31714587255322035,0.15328053124126353,0.1915864999827485,0.08388868402018265,0.9610375560349892,command_line_count,0.31714587255322035
M57-Jean,LEVT-M57-Jean-PROCESS-344-20091121013301,18,2009-11-21 01:33:01+00:00,344,jqs.exe,41,-0.1534073451646507,False,0.0,0.21615560433797654,0.07561617447308991,0.0,0.12459615629381131,0.383347858307317,0.10042068356110474,0.13518504588546912,-0.06450721969971435,1.099828742558483,command_line_count,0.383347858307317
M57-Jean,LEVT-M57-Jean-PROCESS-1752-20091121013306,25,2009-11-21 01:33:06+00:00,1752,msmsgs.exe,42,-0.1614282626975495,False,0.0,0.2696812061228405,0.10122377918299455,0.0,0.1422078445039107,0.40534414532465496,0.10147637577191697,-0.151009914574446,0.2918356445782809,1.4627789100590447,command_line_count,0.40534414532465496
M57-Jean,LEVT-M57-Jean-PROCESS-1996-20091121013242,14,2009-11-21 01:32:42+00:00,1996,spoolsv.exe,43,-0.1676963337587107,False,0.0,0.27405962494711184,0.07800317453754602,0.0,0.07679262293925507,0.391002040179854,0.02553976867166701,0.1509446220480284,0.3154346206801028,1.3117764740035651,command_line_count,0.391002040179854
M57-Jean,LEVT-M57-Jean-PROCESS-1152-20091121013234,6,2009-11-21 01:32:34+00:00,1152,svchost.exe,44,-0.1721591474219398,False,0.0,0.27417921460048256,0.0937653105398216,0.0,0.11224109444170483,0.3991169200571287,0.06737755479345663,0.15011587954370526,0.323926793503382,1.4207227674796816,command_line_count,0.3991169200571287
M57-Jean,LEVT-M57-Jean-PROCESS-1432-20091121013235,9,2009-11-21 01:32:35+00:00,1432,svchost.exe,45,-0.1741690578092812,False,0.0,0.2603870592634754,0.12532863250648202,0.0,0.15611281178115466,0.4179269351211419,0.14966129623969557,0.12415416503840848,0.23661261251643365,1.4701835124667917,command_line_count,0.4179269351211419
M57-Jean,LEVT-M57-Jean-PROCESS-1732-20091121013237,12,2009-11-21 01:32:37+00:00,1732,svchost.exe,46,-0.1783172301588412,False,0.0,0.2709350498330125,0.1500727659641287,0.0,0.16586813988295473,0.4164561858532543,0.12315508761558923,0.14427404548162903,0.30229118641246355,1.5730524610430319,command_line_count,0.4164561858532543
M57-Jean,LEVT-M57-Jean-PROCESS-1248-20091121013234,7,2009-11-21 01:32:34+00:00,1248,svchost.exe,47,-0.1787323673982345,False,0.0,0.2706778544564892,0.15068976276933402,0.0,0.16426807709289984,0.4177004953590013,0.1425483282541314,0.143325160888179,0.2941967649893106,1.583406443809345,command_line_count,0.4177004953590013
